2026-03-30 21:49:12,703 | listener_started | / | ['0.0.0.0, 9001']
2026-04-02 16:54:46,720 | recv | /adm/obj/1/xyz | [-1.0, -0.896001935005188, 0.4149926006793976]
2026-04-02 16:54:52,733 | recv | /reward | [-0.35964226722717285]
2026-04-02 16:54:52,734 | recv | /adm/obj/101/xyz | [-0.03821680322289467, -0.27164608240127563, 0.0]
2026-04-02 16:54:52,745 | send | /adm/obj/1/xyz | [1.0, -0.5164543390274048, -0.8108883500099182]
2026-04-02 16:54:52,751 | recv | /adm/obj/1/xyz | [1.0, -0.5164543390274048, -0.8108883500099182]
2026-04-06 14:29:09,113 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 14:30:07,189 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 14:30:09,853 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 14:30:09,863 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-06 14:30:10,098 | send | /adm/obj/1/xyz | [0.8817642331123352, -1.0, 0.027164608240127563]
2026-04-06 14:30:10,130 | recv | /adm/obj/1/xyz | [0.8817642331123352, -1.0, 0.027164608240127563]
2026-04-06 14:30:33,910 | recv | /reward | [1.0]
2026-04-06 14:30:33,916 | recv | /adm/obj/101/xyz | [0.1827114075422287, 0.0019665134605020285, -0.03147019073367119]
2026-04-06 14:30:33,925 | send | /adm/obj/1/xyz | [0.8680955171585083, -0.3370169997215271, -0.303047239780426]
2026-04-06 14:30:33,929 | recv | /adm/obj/1/xyz | [0.8680955171585083, -0.3370169997215271, -0.303047239780426]
2026-04-06 14:50:36,096 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-06 14:51:02,347 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 14:51:04,817 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 14:51:04,833 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-06 14:51:04,842 | send | /adm/obj/1/xyz | [-0.09758301824331284, 0.17369379103183746, 0.014776566997170448]
